"author","coauthors"
"Philippe Blondé","Marco Sperduti"
"Philippe Blondé","Pascale Piolino"
"Philippe Blondé","Dominique Makowski"
"Philippe Blondé","Jean-Charles Girardeau"
"Philippe Blondé","Serge Nicolas"
"Philippe Blondé","Arni Kristjansson"
"Philippe Blondé","David Pascucci"
"Philippe Blondé","Tiziana Zalla"
"Philippe Blondé","Stephane Lemaire"
"Philippe Blondé","Dr Allan Armougum"
"Philippe Blondé","Sabrina Hansmann-Roth"
"Philippe Blondé","La Corte Valentina"
"Hung Pham","Weng, Yiwei (翁毅伟)"
"Hung Pham","Yi Wei Daniel Tay"
"Hung Pham","Phạm Quang Cường"
"Hung Pham","Puttichai Lertkultanon"
"Hung Pham","Mingyang Li"
"Tiziana Zalla","Jordan Grafman"
"Tiziana Zalla","Marco Sperduti"
"Tiziana Zalla","Nicolas Franck"
"Tiziana Zalla","Gianpaolo Basso"
"Tiziana Zalla","Pietro Pietrini"
"Tiziana Zalla","David Sander"
"Tiziana Zalla","Pascale Piolino"
"Tiziana Zalla","Franck Ramus"
"Tiziana Zalla","Laurent Cohen"
"Tiziana Zalla","Emmanuel Dupoux"
"Tiziana Zalla","Pierre Jacob"
"Tiziana Zalla","Janet Metcalfe"
"Tiziana Zalla","Giorgio Coricelli"
"Tiziana Zalla","Michael S. Phipps, Md, Mhs"
"Tiziana Zalla","Edouard Machery"
"Tiziana Zalla","Andrea Stocco"
"Tiziana Zalla","Danilo Fum"
"Tiziana Zalla","Manuela Piazza"
"Tiziana Zalla","Bernard Pachoud"
"Tiziana Zalla","Jean-Louis Dessalles"
"Stephane Lemaire","Tiziana Zalla"
"Stephane Lemaire","Marco Sperduti"
"Stephane Lemaire","Dominique Makowski"
"Stephane Lemaire","Pascale Piolino"
"Dominique Makowski","Daniel Lüdecke"
"Dominique Makowski","Mattan S. Ben-Shachar"
"Dominique Makowski","Indrajeet Patil"
"Dominique Makowski","Philip D. Waggoner"
"Dominique Makowski","Sh Annabel Chen (陈圣馨）"
"Dominique Makowski","Lau Zen Juen"
"Dominique Makowski","Tam Pham"
"Dominique Makowski","Pascale Piolino"
"Dominique Makowski","Marco Sperduti"
"Dominique Makowski","Brenton M. Wiernik"
"Dominique Makowski","Rémi Thériault"
"Dominique Makowski","Serge Nicolas"
"Dominique Makowski","François Lespinasse"
"Dominique Makowski","Philippe Blondé"
"Dominique Makowski","Hung Pham"
"Dominique Makowski","Tiziana Zalla"
"Dominique Makowski","Stephane Lemaire"
"Dominique Makowski","An Shu Te"
"Dominique Makowski","Prany Wantzen"
